date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:29:38	123/123	---MCZ	200	added ('OK')	text/plain	date:Mon,%2007%20Apr%202025%2015:59:38%20GMT	https://brightelectronicsdallas.com/robots.txt		(from )
21:29:39	78988/78988	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Apr%202025%2015:59:38%20GMT	https://brightelectronicsdallas.com/tv-repair/	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/tv-repair/index.html	(from )
21:29:40	90794/90794	---MCZ	200	added ('OK')	text/css	etag:W/%2267ca008f-162aa%22	https://brightelectronicsdallas.com/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-css-14f5727f613af66a59de5845bc615e4e.css	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/uploads/siteground-optimizer-assets/siteground-optimizer-combined-css-14f5727f613af66a59de5845bc615e4e.css	(from https://brightelectronicsdallas.com/tv-repair/)
21:29:40	101784/101784	---MCZ	200	added ('OK')	text/css	etag:W/%226cb5a85b30082e3d59d7e371e002ce8d%22	https://use.fontawesome.com/releases/v6.2.0/css/all.css	C:/My%20Web%20Sites/tv/use.fontawesome.com/releases/v6.2.0/css/all.css	(from https://brightelectronicsdallas.com/tv-repair/)
21:29:41	192657/192657	---MCZ	200	added ('OK')	text/css	etag:W/%2267173f99-2f091%22	https://brightelectronicsdallas.com/wp-content/plugins/supreme-modules-for-divi/styles/style.min.css?ver=2.5.61	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/plugins/supreme-modules-for-divi/styles/style.mincc44.css	(from https://brightelectronicsdallas.com/tv-repair/)
21:29:42	27593/27593	---MCZ	200	added ('OK')	text/css	etag:W/%22a0c6ae12659c0a469d1114415303f9da%22	https://use.fontawesome.com/releases/v6.2.0/css/v4-shims.css	C:/My%20Web%20Sites/tv/use.fontawesome.com/releases/v6.2.0/css/v4-shims.css	(from https://brightelectronicsdallas.com/tv-repair/)
21:29:42	824699/824699	---MCZ	200	added ('OK')	text/css	etag:W/%22675344f4-c957b%22	https://brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min.css?ver=4.27.4	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/themes/Divi/style-static.min41c1.css	(from https://brightelectronicsdallas.com/tv-repair/)
21:29:42	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%22654de071-15601%22	https://brightelectronicsdallas.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://brightelectronicsdallas.com/tv-repair/)
21:29:43	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2007%20Apr%202025%2015:59:42%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/tv/www.googletagmanager.com/gtm.65445.delayed	(from https://brightelectronicsdallas.com/tv-repair/)
21:29:43	1438/1438	---M--	200	added ('OK')	image/png	etag:%2264a9f0ba-59e%22	https://brightelectronicsdallas.com/wp-content/uploads/2023/07/cropped-Bright-Electronics-fav--32x32.png	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/uploads/2023/07/cropped-Bright-Electronics-fav--32x32.png	(from https://brightelectronicsdallas.com/tv-repair/)
21:29:43	12630/12630	---M--	200	added ('OK')	image/png	etag:%2264a9f0ba-3156%22	https://brightelectronicsdallas.com/wp-content/uploads/2023/07/cropped-Bright-Electronics-fav--192x192.png	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/uploads/2023/07/cropped-Bright-Electronics-fav--192x192.png	(from https://brightelectronicsdallas.com/tv-repair/)
21:29:44	12142/12142	---M--	200	added ('OK')	image/png	etag:%2264a9f0ba-2f6e%22	https://brightelectronicsdallas.com/wp-content/uploads/2023/07/cropped-Bright-Electronics-fav--180x180.png	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/uploads/2023/07/cropped-Bright-Electronics-fav--180x180.png	(from https://brightelectronicsdallas.com/tv-repair/)
21:29:44	9126/9126	---MCZ	200	added ('OK')	text/css	etag:W/%2267538c3b-23a6%22	https://brightelectronicsdallas.com/wp-content/et-cache/151/et-core-unified-tb-290-151.min.css?ver=1733528635	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/et-cache/151/et-core-unified-tb-290-151.minb25c.css	(from https://brightelectronicsdallas.com/tv-repair/)
21:29:44	137/137	---MCZ	200	added ('OK')	text/css	etag:W/%2267538c3b-89%22	https://brightelectronicsdallas.com/wp-content/et-cache/151/et-core-unified-151.min.css?ver=1733528635	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/et-cache/151/et-core-unified-151.minb25c.css	(from https://brightelectronicsdallas.com/tv-repair/)
21:29:45	13578/13578	---MCZ	200	added ('OK')	text/css	etag:W/%2267538c3b-350a%22	https://brightelectronicsdallas.com/wp-content/et-cache/151/et-core-unified-tb-290-deferred-151.min.css?ver=1733528635	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/et-cache/151/et-core-unified-tb-290-deferred-151.minb25c.css	(from https://brightelectronicsdallas.com/tv-repair/)
21:29:46	129546/129546	---M--	200	added ('OK')	image/png	etag:%2263eff3e1-1fa0a%22	https://brightelectronicsdallas.com/wp-content/uploads/2022/09/Bright-Electronics.png	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/uploads/2022/09/Bright-Electronics.png	(from https://brightelectronicsdallas.com/tv-repair/)
21:29:46	86723/86723	---M--	200	added ('OK')	image/jpeg	etag:%2263eff3b3-152c3%22	https://brightelectronicsdallas.com/wp-content/uploads/2022/09/glitch-tv.jpg	C:/My%20Web%20Sites/tv/brightelectronicsdallas.com/wp-content/uploads/2022/09/glitch-tv.jpg	(from https://brightelectronicsdallas.com/tv-repair/)
